CustomerID,TransactionID,Qty,TotalAmount,cluster
1,17,60,623300,0
7,17,57,498800,0
8,14,47,542100,0
10,14,50,478000,0
12,16,61,582500,0
13,19,68,669000,0
19,15,63,574600,0
20,15,53,528500,0
23,15,55,506500,0
34,14,51,493200,0
37,14,72,625100,0
43,13,57,539200,0
44,19,71,543800,0
45,17,54,553500,0
46,15,49,495200,0
47,15,57,551300,0
63,17,56,563300,0
72,16,65,667000,0
73,17,61,503700,0
84,16,62,470800,0
88,17,62,627400,0
89,19,79,760600,0
105,14,53,513400,0
106,16,64,555300,0
107,11,46,516600,0
112,14,54,530300,0
114,11,52,484000,0
115,14,58,497000,0
120,14,50,502600,0
127,14,46,512400,0
133,17,56,524400,0
150,14,54,497600,0
156,21,61,583100,0
157,15,65,588100,0
158,17,59,486900,0
166,13,66,644200,0
167,17,65,600400,0
171,17,68,576500,0
172,17,50,540900,0
184,14,64,676200,0
187,15,44,472600,0
189,18,73,565600,0
199,11,42,476200,0
210,13,58,570600,0
217,14,57,486100,0
219,16,58,514100,0
222,13,58,491700,0
233,17,65,634700,0
234,17,51,502900,0
235,15,68,475700,0
240,15,55,524300,0
245,19,72,578400,0
260,15,54,588800,0
263,16,60,622600,0
264,12,46,489200,0
270,16,49,527100,0
272,17,58,491000,0
276,13,54,488000,0
277,13,51,574000,0
281,16,59,499700,0
282,15,52,472400,0
283,17,61,499400,0
299,14,52,584200,0
301,16,53,615300,0
303,16,68,548100,0
306,16,51,475200,0
311,13,57,472000,0
321,14,57,529200,0
326,15,47,550200,0
329,17,63,526800,0
348,11,58,496700,0
356,16,57,526900,0
357,12,53,487800,0
365,20,75,846700,0
366,12,41,471000,0
369,11,51,471100,0
370,16,55,564800,0
374,16,53,470200,0
384,16,65,662200,0
392,20,71,751400,0
416,14,62,511200,0
417,16,71,615800,0
422,15,66,534500,0
423,16,62,614600,0
427,14,55,574800,0
430,14,53,501600,0
434,13,57,509900,0
443,16,59,485100,0
444,18,62,577700,0
445,18,68,587200,0
